video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=mRQOmRO9pew&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livingintacomawashington,Living In Tacoma Washington [The Original!],PROS and CONS of Washington State | Living In Washington | Moving to Seattle Washington,27K,3 years,There are plenty of pros and cons of living in Washington. Moving to Seattle or other parts of Washington have their own unique ...,2026-01-22 01:43:41.059173
/watch?v=PqkxR1H0Nco&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Why People Are Leaving San Fransisco For Seattle,923,3 months,"Are you currently living in San Fransisco and thinking about a move to Seattle? I have helped many people make the move, and in ...",2026-01-22 01:43:41.060401
/watch?v=A6FqWB8NCdA&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@Phamever,PHAMEVER,Moving To Seattle Part 1 - What's It Really Like Here + Moving Tips!,47K,4 years,Many of you who are moving to Seattle (or thinking about it) have asked me to share more about what life in Seattle is really and ...,2026-01-22 01:43:41.061546
/shorts/cP2_snfwg_I,/@livingintacomawashington,Living In Tacoma Washington [The Original!],What it cost to live in Seattle single,10K,3 years,"What it cost to live in Seattle single I have so many people contacting me who are moving here to Bonney Lake, Tacoma or ...",2026-01-22 01:43:41.062763
/watch?v=x2sSutNDMuE&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@maddykiim,Maddy Kim,Seattle Apartment Hunting | 12 Units w/ prices!!,38K,7 months,"seattle #apartment #apt be on the lookout for more seattle vlogs! :0 Hii I'm Maddy, and I'm a recent grad at UC Berkeley.",2026-01-22 01:43:41.064117
/watch?v=PZylncrWP4o&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@Scriptshepherd,Script Shepherd ,I Left NYC for Seattle One Year Ago: Do I Regret It?,50K,2 years,"I left New York City for Seattle just over a year ago. When I arrived, I made a video on why I left. Here is my follow-up video with a ...",2026-01-22 01:43:41.068034
/watch?v=7BGk7Bp3Ij8&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@LivingandmovingtoSeattle,Living and Moving to Seattle Washington,Top 5 Most Affordable Cities Near Seattle - Living and Moving to Seattle Washington,2.7K,3 years,"You want to know the Top 5 MOST Affordable Cities Near Seattle? In this Video, we are talking about exactly that! ***     more ...",2026-01-22 01:43:41.069960
/watch?v=Mdhm9_zWMrE&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,"Living In Mukilteo, WA | A Beachside Community North Of Seattle",864,4 months,"Looking for a smaller, laid back beach community in the Seattle Metropolitan area? Mukilteo offers just that, and in this video, I am ...",2026-01-22 01:43:41.071181
/shorts/nPLrIWqmVXA,/@RachelWaldorf,Rachel Waldorf,Is Seattle the right city for you?,122K,3 years,... pros and cons of living in Seattle? New video is up! check it out: https://www.youtube.com/watch?v=xZiHkPLMis8&t=2s #seattle ...,2026-01-22 01:43:41.075931
/watch?v=M-QawCnlK8w&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@gabbbyle,Gabby Le,"Living Alone in Seattle: Lunar New Year festival, my 9-5, run club",79K,11 months,affiliate links ⛓ Open Mediation App free trial! https://bit.ly/3Tpganu ClassPass free trial! https://bit.ly/3ui7nuZ music & sound ...,2026-01-22 01:43:41.077033
/watch?v=YUI4Lr1lcE4&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@LivingInSeattlePNW,Living in Seattle Washington PNW,Living In Seattle Washington: Exploring The Charms & Challenges In Seattle WA | Seattle WA Realtor,1.5K,1 year,Are you thinking about moving to Seattle Washington? Let's discover living in Seattle Washington and explore the charms and ...,2026-01-22 01:43:41.078716
/watch?v=OSfivsgCV8o&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@rinahra,Rin Ahra,IS SEATTLE DANGEROUS? safety tips from a local | neighborhoods to avoid | nighttime | snow,13K,2 years,better slap an airtag on your car's catalytic converter before it's too late thanks for watching ✨ SDOT Plow Routes: ...,2026-01-22 01:43:41.083096
/watch?v=Sd6empPcVDw&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@urban-living,Seattle & Bellevue Real Estate by Urban Living,"If I Were Moving to Seattle in 2025, I'd Move Here",16K,5 months,Download Our FREE Relocation Guide Here!✓ https://bit.ly/ReloPDF ➡️ Our Seattle New Condo Guide: https://bit.ly/4hl8TzB ...,2026-01-22 01:43:41.085312
/watch?v=vK1AQq2Oaag&pp=ygURTGl2aW5nIGluIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@LivinginSeattleWashington,Living in Seattle Washington,"Don't Move to Seattle,Washington Unless You Can Handle These 6 Things!",179K,2 years,"Are you thinking of moving and buying a house in Seattle, Washington? This video Tova talks about the 6 reasons on WHY ...",2026-01-22 01:43:41.086511
/watch?v=g_A9Wu3X9uo&pp=ygURTGl2aW5nIGluIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@Kikiosity2025,Kikiosity,SEATTLE APARTMENT HUNTING (w/ rent prices + tours + tips),9.6K,6 months,"Moving to Seattle? Looking for an apartment in Seattle🏙️? In this video, I'm being completely transparent about my apartment ...",2026-01-22 01:43:49.943933
